\FIFO_E/FIFO_MEM_1_reg[0] :D FIFO_E/n140 [('FIFO_E/U298/Q', 'Output Pin(AO22X6)')]
\FIFO_S/U295 :Q FIFO_S/n143 [('FIFO_S/FIFO_MEM_2_reg[29]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U296 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U296 :A2 RX_S[30] [('RX_S[30]', 'Input Port')]
\FIFO_S/U296 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U296 :B2 n181 [('FIFO_S/FIFO_MEM_2_reg[30]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U296 :Q FIFO_S/n142 [('FIFO_S/FIFO_MEM_2_reg[30]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U297 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U297 :A2 RX_S[31] [('RX_S[31]', 'Input Port')]
\FIFO_S/U297 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U297 :B2 n182 [('FIFO_S/FIFO_MEM_2_reg[31]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U297 :Q FIFO_S/n141 [('FIFO_S/FIFO_MEM_2_reg[31]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U298 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U298 :A2 RX_S[0] [('RX_S[0]', 'Input Port')]
\FIFO_S/U298 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U298 :B2 n632 [('FIFO_S/FIFO_MEM_1_reg[0]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U298 :Q FIFO_S/n140 [('FIFO_S/FIFO_MEM_1_reg[0]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U299 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U299 :A2 RX_S[1] [('RX_S[1]', 'Input Port')]
\FIFO_S/U299 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U299 :B2 n633 [('FIFO_S/FIFO_MEM_1_reg[1]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U299 :Q FIFO_S/n139 [('FIFO_S/FIFO_MEM_1_reg[1]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U300 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U300 :A2 RX_S[2] [('RX_S[2]', 'Input Port')]
\FIFO_S/U300 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U300 :B2 n634 [('FIFO_S/FIFO_MEM_1_reg[2]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U300 :Q FIFO_S/n138 [('FIFO_S/FIFO_MEM_1_reg[2]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U301 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U301 :A2 RX_S[3] [('RX_S[3]', 'Input Port')]
\FIFO_S/U301 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U301 :B2 n635 [('FIFO_S/FIFO_MEM_1_reg[3]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U301 :Q FIFO_S/n137 [('FIFO_S/FIFO_MEM_1_reg[3]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U302 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U302 :A2 RX_S[4] [('RX_S[4]', 'Input Port')]
\FIFO_S/U302 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U302 :B2 n636 [('FIFO_S/FIFO_MEM_1_reg[4]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U302 :Q FIFO_S/n136 [('FIFO_S/FIFO_MEM_1_reg[4]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U303 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U303 :A2 RX_S[5] [('RX_S[5]', 'Input Port')]
\FIFO_S/U303 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U303 :B2 n637 [('FIFO_S/FIFO_MEM_1_reg[5]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U303 :Q FIFO_S/n135 [('FIFO_S/FIFO_MEM_1_reg[5]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U304 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U304 :A2 RX_S[6] [('RX_S[6]', 'Input Port')]
\FIFO_S/U304 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U304 :B2 n638 [('FIFO_S/FIFO_MEM_1_reg[6]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U304 :Q FIFO_S/n134 [('FIFO_S/FIFO_MEM_1_reg[6]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U305 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U305 :A2 RX_S[7] [('RX_S[7]', 'Input Port')]
\FIFO_S/U305 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U305 :B2 n639 [('FIFO_S/FIFO_MEM_1_reg[7]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U305 :Q FIFO_S/n133 [('FIFO_S/FIFO_MEM_1_reg[7]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U306 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U306 :A2 RX_S[8] [('RX_S[8]', 'Input Port')]
\FIFO_S/U306 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U306 :B2 n640 [('FIFO_S/FIFO_MEM_1_reg[8]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U306 :Q FIFO_S/n132 [('FIFO_S/FIFO_MEM_1_reg[8]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U307 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U307 :A2 RX_S[9] [('RX_S[9]', 'Input Port')]
\FIFO_S/U307 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U307 :B2 n641 [('FIFO_S/FIFO_MEM_1_reg[9]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U307 :Q FIFO_S/n131 [('FIFO_S/FIFO_MEM_1_reg[9]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U308 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U308 :A2 RX_S[10] [('RX_S[10]', 'Input Port')]
\FIFO_S/U308 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U308 :B2 n642 [('FIFO_S/FIFO_MEM_1_reg[10]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U308 :Q FIFO_S/n130 [('FIFO_S/FIFO_MEM_1_reg[10]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U309 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U309 :A2 RX_S[11] [('RX_S[11]', 'Input Port')]
\FIFO_S/U309 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U309 :B2 n643 [('FIFO_S/FIFO_MEM_1_reg[11]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U309 :Q FIFO_S/n129 [('FIFO_S/FIFO_MEM_1_reg[11]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U310 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U310 :A2 RX_S[12] [('RX_S[12]', 'Input Port')]
\FIFO_S/U310 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U310 :B2 n644 [('FIFO_S/FIFO_MEM_1_reg[12]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U310 :Q FIFO_S/n128 [('FIFO_S/FIFO_MEM_1_reg[12]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U311 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U311 :A2 RX_S[13] [('RX_S[13]', 'Input Port')]
\FIFO_S/U311 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U311 :B2 n645 [('FIFO_S/FIFO_MEM_1_reg[13]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U311 :Q FIFO_S/n127 [('FIFO_S/FIFO_MEM_1_reg[13]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U312 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U312 :A2 RX_S[14] [('RX_S[14]', 'Input Port')]
\FIFO_S/U312 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U312 :B2 n646 [('FIFO_S/FIFO_MEM_1_reg[14]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U312 :Q FIFO_S/n126 [('FIFO_S/FIFO_MEM_1_reg[14]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U313 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U313 :A2 RX_S[15] [('RX_S[15]', 'Input Port')]
\FIFO_S/U313 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U313 :B2 n647 [('FIFO_S/FIFO_MEM_1_reg[15]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U313 :Q FIFO_S/n125 [('FIFO_S/FIFO_MEM_1_reg[15]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U314 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U314 :A2 RX_S[16] [('RX_S[16]', 'Input Port')]
\FIFO_S/U314 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U314 :B2 n648 [('FIFO_S/FIFO_MEM_1_reg[16]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U314 :Q FIFO_S/n124 [('FIFO_S/FIFO_MEM_1_reg[16]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U315 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U315 :A2 RX_S[17] [('RX_S[17]', 'Input Port')]
\FIFO_S/U315 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U315 :B2 n649 [('FIFO_S/FIFO_MEM_1_reg[17]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U315 :Q FIFO_S/n123 [('FIFO_S/FIFO_MEM_1_reg[17]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U316 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U316 :A2 RX_S[18] [('RX_S[18]', 'Input Port')]
\FIFO_S/U316 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U316 :B2 n650 [('FIFO_S/FIFO_MEM_1_reg[18]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U316 :Q FIFO_S/n122 [('FIFO_S/FIFO_MEM_1_reg[18]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U317 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U317 :A2 RX_S[19] [('RX_S[19]', 'Input Port')]
\FIFO_S/U317 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U317 :B2 n651 [('FIFO_S/FIFO_MEM_1_reg[19]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U317 :Q FIFO_S/n121 [('FIFO_S/FIFO_MEM_1_reg[19]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U318 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U318 :A2 RX_S[20] [('RX_S[20]', 'Input Port')]
\FIFO_S/U318 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U318 :B2 n652 [('FIFO_S/FIFO_MEM_1_reg[20]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U318 :Q FIFO_S/n120 [('FIFO_S/FIFO_MEM_1_reg[20]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U319 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U319 :A2 RX_S[21] [('RX_S[21]', 'Input Port')]
\FIFO_S/U319 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U319 :B2 n653 [('FIFO_S/FIFO_MEM_1_reg[21]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U319 :Q FIFO_S/n119 [('FIFO_S/FIFO_MEM_1_reg[21]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U320 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U320 :A2 RX_S[22] [('RX_S[22]', 'Input Port')]
\FIFO_S/U320 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U320 :B2 n654 [('FIFO_S/FIFO_MEM_1_reg[22]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U320 :Q FIFO_S/n118 [('FIFO_S/FIFO_MEM_1_reg[22]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U321 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U321 :A2 RX_S[23] [('RX_S[23]', 'Input Port')]
\FIFO_S/U321 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U321 :B2 n655 [('FIFO_S/FIFO_MEM_1_reg[23]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U321 :Q FIFO_S/n117 [('FIFO_S/FIFO_MEM_1_reg[23]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U322 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U322 :A2 RX_S[24] [('RX_S[24]', 'Input Port')]
\FIFO_S/U322 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U322 :B2 n656 [('FIFO_S/FIFO_MEM_1_reg[24]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U322 :Q FIFO_S/n116 [('FIFO_S/FIFO_MEM_1_reg[24]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U323 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U323 :A2 RX_S[25] [('RX_S[25]', 'Input Port')]
\FIFO_S/U323 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U323 :B2 n657 [('FIFO_S/FIFO_MEM_1_reg[25]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U323 :Q FIFO_S/n115 [('FIFO_S/FIFO_MEM_1_reg[25]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U324 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U324 :A2 RX_S[26] [('RX_S[26]', 'Input Port')]
\FIFO_S/U324 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U324 :B2 n658 [('FIFO_S/FIFO_MEM_1_reg[26]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U324 :Q FIFO_S/n114 [('FIFO_S/FIFO_MEM_1_reg[26]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U325 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U325 :A2 RX_S[27] [('RX_S[27]', 'Input Port')]
\FIFO_S/U325 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U325 :B2 n659 [('FIFO_S/FIFO_MEM_1_reg[27]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U325 :Q FIFO_S/n113 [('FIFO_S/FIFO_MEM_1_reg[27]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U326 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U326 :A2 RX_S[28] [('RX_S[28]', 'Input Port')]
\FIFO_S/U326 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U326 :B2 n660 [('FIFO_S/FIFO_MEM_1_reg[28]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U326 :Q FIFO_S/n112 [('FIFO_S/FIFO_MEM_1_reg[28]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U327 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U327 :A2 RX_S[29] [('RX_S[29]', 'Input Port')]
\FIFO_S/U327 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U327 :B2 n661 [('FIFO_S/FIFO_MEM_1_reg[29]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U327 :Q FIFO_S/n111 [('FIFO_S/FIFO_MEM_1_reg[29]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U328 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U328 :A2 RX_S[30] [('RX_S[30]', 'Input Port')]
\FIFO_S/U328 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U328 :B2 n662 [('FIFO_S/FIFO_MEM_1_reg[30]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U328 :Q FIFO_S/n110 [('FIFO_S/FIFO_MEM_1_reg[30]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U329 :A1 n767 [('U65/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U329 :A2 RX_S[31] [('RX_S[31]', 'Input Port')]
\FIFO_S/U329 :B1 FIFO_S/n405 [('U675/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U329 :B2 n663 [('FIFO_S/FIFO_MEM_1_reg[31]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U329 :Q FIFO_S/n109 [('FIFO_S/FIFO_MEM_1_reg[31]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U330 :A FIFO_S/read_pointer[1] [('FIFO_S/read_pointer_reg[1]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U330 :B n68 [('FIFO_S/write_pointer_reg[0]/QN', 'Output Pin(DFPX4)')]
\FIFO_S/U330 :Q FIFO_S/n408 [('U657/A3', 'Input Pin(OA31X4)')]
\FIFO_S/U331 :A FIFO_S/read_pointer[2] [('FIFO_S/read_pointer_reg[2]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U331 :B n62 [('FIFO_S/write_pointer_reg[1]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U331 :Q FIFO_S/n407 [('U657/A2', 'Input Pin(OA31X4)')]
\FIFO_S/U332 :A FIFO_S/write_pointer[3] [('FIFO_S/write_pointer_reg[3]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U332 :B FIFO_S/read_pointer[0] [('FIFO_S/read_pointer_reg[0]/Q', 'Output Pin(DFPX4)')]
\FIFO_S/U332 :Q FIFO_S/n410 [('U658/B', 'Input Pin(NAND2X6)')]
\FIFO_S/U333 :A FIFO_S/write_pointer[2] [('FIFO_S/write_pointer_reg[2]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U333 :B FIFO_S/read_pointer[3] [('FIFO_S/read_pointer_reg[3]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U333 :Q FIFO_S/n409 [('U658/A', 'Input Pin(NAND2X6)')]
\FIFO_S/U334 :A FIFO_S/read_pointer[2] [('FIFO_S/read_pointer_reg[2]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U334 :B n35 [('FIFO_S/write_pointer_reg[2]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U334 :Q FIFO_S/n415 [('U391/B', 'Input Pin(NOR2X6)')]
\FIFO_S/U335 :A FIFO_S/read_pointer[3] [('FIFO_S/read_pointer_reg[3]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U335 :B n30 [('FIFO_S/write_pointer_reg[3]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U335 :Q FIFO_S/n414 [('U391/A', 'Input Pin(NOR2X6)')]
\FIFO_S/U336 :A FIFO_S/write_pointer[1] [('FIFO_S/write_pointer_reg[1]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U336 :B FIFO_S/read_pointer[1] [('FIFO_S/read_pointer_reg[1]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U336 :Q FIFO_S/n412 [('U390/B', 'Input Pin(NAND3X3)')]
\FIFO_S/U337 :A FIFO_S/write_pointer[0] [('FIFO_S/write_pointer_reg[0]/Q', 'Output Pin(DFPX4)')]
\FIFO_S/U337 :B FIFO_S/read_pointer[0] [('FIFO_S/read_pointer_reg[0]/Q', 'Output Pin(DFPX4)')]
\FIFO_S/U337 :Q FIFO_S/n411 [('U390/A', 'Input Pin(NAND3X3)')]
\FIFO_S/U338 :A1 FIFO_S/n355 [('FIFO_S/FIFO_MEM_3_reg[9]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U338 :A2 FIFO_S/n419 [('U626/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U338 :B1 FIFO_S/n323 [('FIFO_S/FIFO_MEM_2_reg[9]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U338 :B2 FIFO_S/n420 [('U644/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U338 :Q FIFO_S/n418 [('U515/C1', 'Input Pin(OAI211X3)')]
\FIFO_S/U339 :A FIFO_S/n387 [('FIFO_S/FIFO_MEM_4_reg[9]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U339 :B FIFO_S/n421 [('U628/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U339 :Q FIFO_S/n417 [('U515/B1', 'Input Pin(OAI211X3)')]
\FIFO_S/U340 :A1 FIFO_S/n356 [('FIFO_S/FIFO_MEM_3_reg[8]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U340 :A2 FIFO_S/n419 [('U626/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U340 :B1 FIFO_S/n324 [('FIFO_S/FIFO_MEM_2_reg[8]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U340 :B2 FIFO_S/n420 [('U644/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U340 :Q FIFO_S/n423 [('U514/C1', 'Input Pin(OAI211X3)')]
\FIFO_S/U341 :A FIFO_S/n388 [('FIFO_S/FIFO_MEM_4_reg[8]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U341 :B FIFO_S/n421 [('U628/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U341 :Q FIFO_S/n422 [('U514/B1', 'Input Pin(OAI211X3)')]
\FIFO_S/U342 :A1 FIFO_S/n357 [('FIFO_S/FIFO_MEM_3_reg[7]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U342 :A2 FIFO_S/n419 [('U626/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U342 :B1 FIFO_S/n325 [('FIFO_S/FIFO_MEM_2_reg[7]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U342 :B2 FIFO_S/n420 [('U644/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U342 :Q FIFO_S/n425 [('U513/C1', 'Input Pin(OAI211X3)')]
\FIFO_S/U343 :A FIFO_S/n389 [('FIFO_S/FIFO_MEM_4_reg[7]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U343 :B FIFO_S/n421 [('U628/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U343 :Q FIFO_S/n424 [('U513/B1', 'Input Pin(OAI211X3)')]
\FIFO_S/U344 :A1 FIFO_S/n358 [('FIFO_S/FIFO_MEM_3_reg[6]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U344 :A2 FIFO_S/n419 [('U626/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U344 :B1 FIFO_S/n326 [('FIFO_S/FIFO_MEM_2_reg[6]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U344 :B2 FIFO_S/n420 [('U644/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U344 :Q FIFO_S/n427 [('U512/C1', 'Input Pin(OAI211X3)')]
\FIFO_S/U345 :A FIFO_S/n390 [('FIFO_S/FIFO_MEM_4_reg[6]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U345 :B FIFO_S/n421 [('U628/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U345 :Q FIFO_S/n426 [('U512/B1', 'Input Pin(OAI211X3)')]
\FIFO_S/U346 :A1 FIFO_S/n359 [('FIFO_S/FIFO_MEM_3_reg[5]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U346 :A2 FIFO_S/n419 [('U626/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U346 :B1 FIFO_S/n327 [('FIFO_S/FIFO_MEM_2_reg[5]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U346 :B2 FIFO_S/n420 [('U644/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U346 :Q FIFO_S/n429 [('U511/C1', 'Input Pin(OAI211X3)')]
\FIFO_S/U347 :A FIFO_S/n391 [('FIFO_S/FIFO_MEM_4_reg[5]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U347 :B FIFO_S/n421 [('U628/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U347 :Q FIFO_S/n428 [('U511/B1', 'Input Pin(OAI211X3)')]
\FIFO_S/U348 :A1 FIFO_S/n360 [('FIFO_S/FIFO_MEM_3_reg[4]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U348 :A2 FIFO_S/n419 [('U626/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U348 :B1 FIFO_S/n328 [('FIFO_S/FIFO_MEM_2_reg[4]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U348 :B2 FIFO_S/n420 [('U644/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U348 :Q FIFO_S/n431 [('U510/C1', 'Input Pin(OAI211X3)')]
\FIFO_S/U349 :A FIFO_S/n392 [('FIFO_S/FIFO_MEM_4_reg[4]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U349 :B FIFO_S/n421 [('U628/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U349 :Q FIFO_S/n430 [('U510/B1', 'Input Pin(OAI211X3)')]
\FIFO_S/U350 :A1 FIFO_S/n361 [('FIFO_S/FIFO_MEM_3_reg[3]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U350 :A2 FIFO_S/n419 [('U626/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U350 :B1 FIFO_S/n329 [('FIFO_S/FIFO_MEM_2_reg[3]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U350 :B2 FIFO_S/n420 [('U644/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U350 :Q FIFO_S/n433 [('U509/C1', 'Input Pin(OAI211X3)')]
\FIFO_S/U351 :A FIFO_S/n393 [('FIFO_S/FIFO_MEM_4_reg[3]/QN', 'Output Pin(DFCX4)')]
\FIFO_S/U351 :B FIFO_S/n421 [('U628/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U351 :Q FIFO_S/n432 [('U509/B1', 'Input Pin(OAI211X3)')]
